Mėn. nr.	Pilna suma (€)		Suma(€)		Palūkanos (€)		Liko grąžinti (€)
160	52.56		61.05		-8.49		1343.99
161	52.29		61.05		-8.76		1282.94
162	52.03		61.05		-9.02		1221.89
163	51.77		61.05		-9.28		1160.84
164	51.51		61.05		-9.54		1099.79
165	51.26		61.05		-9.79		1038.74
166	51.0		61.05		-10.05		977.69
167	50.74		61.05		-10.31		916.64
168	50.49		61.05		-10.56		855.59
169	(15 metai)	50.24		61.05		-10.81		794.54
170	49.99		61.05		-11.06		733.49
171	49.74		61.05		-11.31		672.44
172	49.49		61.05		-11.56		611.39
173	49.24		61.05		-11.81		550.34
174	48.99		61.05		-12.06		489.29
175	48.75		61.05		-12.3		428.24
176	48.51		61.05		-12.54		367.19
177	48.26		61.05		-12.79		306.14
178	48.02		61.05		-13.03		245.09
179	47.78		61.05		-13.27		184.04
180	47.54		61.05		-13.51		122.99
181	(16 metai)	47.31		61.05		-13.74		61.94
182	47.07		61.05		-13.98		0.89
